Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PPG,APG,RPG,SPG,BPG,PPG_Score,APG_Score,RPG_Score,SPG_Score,BPG_Score,eFG%_Score,per,usagePercent,offensiveWs,winShares,offensiveBox,vorp,win_percentage,ranking,MVP
1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,76.0,76.0,34.2,11.3,21.8,0.519,2.1,5.7,0.375,9.2,16.1,0.571,0.569,7.9,8.8,0.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,"MVP-1,DPOY-10,CPOY-8,AS,NBA1",0.4302631578947369,0.08421052631578947,0.06578947368421052,0.02236842105263158,0.013157894736842105,0.03073308270676692,0.016842105263157894,0.008223684210526315,0.02236842105263158,0.013157894736842105,0.45519999999999994,30.7,34.8,11.9,16.7,8.9,8.9,0.829,1.0,1
2.0,Giannis Antetokounmpo,30.0,MIL,PF,67.0,67.0,34.2,11.8,19.7,0.601,0.2,0.9,0.222,11.6,18.7,0.62,0.607,6.5,10.6,0.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,"MVP-3,DPOY-8,AS,NBA1",0.45373134328358206,0.09701492537313433,0.17761194029850746,0.013432835820895522,0.01791044776119403,0.032409381663113,0.019402985074626865,0.022201492537313433,0.013432835820895522,0.01791044776119403,0.4856,30.5,35.2,7.8,11.5,6.9,6.6,0.585,11.0,0
3.0,Nikola Jokić,29.0,DEN,C,70.0,70.0,36.7,11.2,19.5,0.576,2.0,4.7,0.417,9.3,14.8,0.627,0.627,5.2,6.4,0.8,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,"MVP-2,CPOY-2,AS,NBA1",0.4228571428571429,0.1457142857142857,0.1814285714285714,0.025714285714285714,0.008571428571428572,0.030204081632653063,0.029142857142857144,0.022678571428571426,0.025714285714285714,0.008571428571428572,0.5016,32.0,29.5,12.7,16.4,9.9,9.8,0.61,8.0,0
5.0,Anthony Edwards,23.0,MIN,SG,79.0,79.0,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.1,10.1,0.501,0.547,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,"MVP-7,CPOY-3,AS,NBA2",0.34936708860759497,0.056962025316455694,0.07215189873417721,0.015189873417721518,0.007594936708860759,0.02495479204339964,0.01139240506329114,0.009018987341772151,0.015189873417721518,0.007594936708860759,0.43760000000000004,20.1,31.4,4.6,8.4,4.4,4.6,0.598,10.0,0
6.0,Jayson Tatum,26.0,BOS,PF,72.0,72.0,36.4,9.2,20.3,0.452,3.5,10.1,0.343,5.7,10.2,0.559,0.537,5.0,6.1,0.814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,"MVP-4,CPOY-10,AS,NBA1",0.37222222222222223,0.08333333333333333,0.12083333333333332,0.015277777777777779,0.006944444444444444,0.026587301587301587,0.016666666666666666,0.015104166666666665,0.015277777777777779,0.006944444444444444,0.42960000000000004,21.7,31.2,5.3,9.5,4.4,4.8,0.744,3.0,0
9.0,Cade Cunningham,23.0,DET,PG,70.0,70.0,35.0,9.8,20.8,0.469,2.1,6.0,0.356,7.6,14.8,0.515,0.521,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1,"MVP-7,AS,NBA3",0.3728571428571429,0.13,0.08714285714285713,0.014285714285714285,0.011428571428571429,0.026632653061224493,0.026000000000000002,0.010892857142857142,0.014285714285714285,0.011428571428571429,0.4168,20.6,33.2,3.0,5.9,3.8,3.7,0.537,14.0,0
10.0,Jalen Brunson,28.0,NYK,PG,65.0,65.0,35.4,9.0,18.5,0.488,2.3,6.1,0.383,6.7,12.4,0.539,0.551,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0,"MVP-10,CPOY-1,AS,NBA2",0.4,0.1123076923076923,0.04461538461538461,0.013846153846153847,0.0015384615384615385,0.028571428571428574,0.02246153846153846,0.0055769230769230765,0.013846153846153847,0.0015384615384615385,0.4408,21.6,29.5,6.8,8.3,4.7,3.1,0.622,5.0,0
14.0,Damian Lillard,34.0,MIL,PG,58.0,58.0,36.1,7.7,17.1,0.448,3.4,9.0,0.376,4.3,8.1,0.528,0.547,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,AS,0.4293103448275862,0.12241379310344827,0.0810344827586207,0.020689655172413793,0.003448275862068966,0.03066502463054187,0.024482758620689653,0.010129310344827587,0.020689655172413793,0.003448275862068966,0.43760000000000004,21.3,27.8,5.6,7.6,4.7,3.2,0.585,11.0,0
16.0,Kyrie Irving,32.0,DAL,SG,50.0,50.0,36.1,8.9,18.9,0.473,2.9,7.2,0.401,6.1,11.7,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,"CPOY-10,AS",0.494,0.092,0.096,0.026000000000000002,0.01,0.03528571428571429,0.0184,0.012,0.026000000000000002,0.01,0.43920000000000003,19.9,27.4,3.4,4.6,3.9,2.5,0.476,19.0,0
18.0,Stephen Curry,36.0,GSW,PG,70.0,70.0,32.2,8.1,18.0,0.448,4.4,11.2,0.397,3.6,6.8,0.534,0.572,4.0,4.3,0.933,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5,"MVP-9,CPOY-5,AS,NBA2",0.35,0.08571428571428572,0.06285714285714286,0.015714285714285715,0.005714285714285714,0.024999999999999998,0.017142857142857144,0.007857142857142858,0.015714285714285715,0.005714285714285714,0.45759999999999995,21.5,29.8,5.2,7.9,6.4,4.8,0.585,12.0,0
19.0,LeBron James,40.0,LAL,SF,70.0,70.0,34.9,9.3,18.1,0.513,2.1,5.7,0.376,7.2,12.5,0.574,0.571,3.7,4.7,0.782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4,"MVP-6,CPOY-7,AS,NBA2",0.34857142857142853,0.11714285714285713,0.11142857142857143,0.014285714285714285,0.008571428571428572,0.024897959183673466,0.023428571428571427,0.013928571428571429,0.014285714285714285,0.008571428571428572,0.4568,22.7,30.1,4.9,7.7,4.9,4.7,0.61,7.0,0
20.0,Karl-Anthony Towns,29.0,NYK,C,72.0,72.0,35.0,8.9,16.9,0.526,2.0,4.7,0.42,6.9,12.2,0.567,0.584,4.7,5.7,0.829,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4,"AS,NBA3",0.33888888888888885,0.043055555555555555,0.17777777777777778,0.013888888888888888,0.009722222222222222,0.024206349206349204,0.008611111111111111,0.022222222222222223,0.013888888888888888,0.009722222222222222,0.46719999999999995,23.4,27.4,6.3,10.1,3.5,3.5,0.622,5.0,0
22.0,Franz Wagner,23.0,ORL,SF,60.0,60.0,33.7,9.0,19.4,0.463,1.7,5.9,0.295,7.2,13.5,0.535,0.507,4.5,5.2,0.871,0.9,4.8,5.7,4.7,1.3,0.4,2.3,2.5,24.2,,0.4033333333333333,0.07833333333333334,0.095,0.021666666666666667,0.006666666666666667,0.02880952380952381,0.01566666666666667,0.011875,0.021666666666666667,0.006666666666666667,0.4056,20.1,31.0,2.6,5.6,2.6,2.6,0.5,15.0,0
23.0,Trae Young,26.0,ATL,PG,76.0,76.0,36.0,7.4,18.1,0.411,2.9,8.4,0.34,4.6,9.7,0.474,0.491,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,"CPOY-4,AS",0.31842105263157894,0.15263157894736842,0.04078947368421053,0.015789473684210527,0.002631578947368421,0.02274436090225564,0.030526315789473686,0.005098684210526316,0.015789473684210527,0.002631578947368421,0.3928,18.3,29.6,4.4,5.7,3.3,1.7,0.488,16.0,0
24.0,Donovan Mitchell,28.0,CLE,SG,71.0,71.0,31.4,8.2,18.6,0.443,3.3,8.9,0.368,5.0,9.7,0.512,0.531,4.2,5.1,0.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,"MVP-5,CPOY-9,AS,NBA1",0.3380281690140845,0.07042253521126761,0.06338028169014084,0.018309859154929577,0.0028169014084507044,0.02414486921529175,0.014084507042253521,0.007922535211267605,0.018309859154929577,0.0028169014084507044,0.4248,20.9,30.9,4.8,7.6,3.8,3.2,0.78,2.0,0
31.0,James Harden,35.0,LAC,PG,79.0,79.0,35.3,6.7,16.4,0.41,3.0,8.5,0.352,3.7,7.9,0.472,0.501,6.4,7.3,0.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,"MVP-10,AS,NBA3",0.28860759493670884,0.110126582278481,0.07341772151898734,0.0189873417721519,0.008860759493670885,0.02061482820976492,0.0220253164556962,0.009177215189873418,0.0189873417721519,0.008860759493670885,0.4008,20.0,29.6,4.0,8.3,3.5,4.4,0.61,9.0,0
